,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,RSI,%K,%D,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,conversion_line,base_line,lead_span_A,lead_span_B,lagging_span,CCI
4446,2023-01-16 12:00:00,1542.31,1562.14,1521.31,1561.44,126739.039,1673891999999,195776146.429665,192157,63046.5686,97410617.980058,0,71.8371323909946,80.57165902102135,79.85043404914505,60.43018109429522,1.0574698421293647,59.37271125216586,1463.75,1396.49,1261.63,1226.655,1637.99,53.23758698579424
4447,2023-01-16 18:00:00,1561.45,1604.5,1557.4,1576.94,157912.2874,1673913599999,249940539.590623,212151,82133.158,130017362.191611,0,73.62211583984117,86.41628468628323,79.33526246220704,60.0535735211638,0.5446898151983532,59.508883705965445,1483.21,1398.75,1268.0149999999999,1226.655,1625.6,119.8138457585963
4448,2023-01-17 00:00:00,1576.94,1582.6,1541.15,1570.06,116586.2836,1673935199999,182293808.252115,177922,57647.2477,90166275.327107,0,71.45718200138184,81.85362769376677,82.94719046702384,58.525307490691375,-0.7868609722192588,59.312168462910634,1483.21,1402.525,1276.71,1226.655,1616.17,86.48105026543797
4449,2023-01-17 06:00:00,1570.07,1572.03,1558.16,1569.07,67578.9379,1673956799999,105706585.531074,120478,32165.4817,50322132.228956,0,71.13303715144174,77.19490216271879,81.82160484758965,56.582018635014265,-2.1841198623170968,58.76613849733136,1483.21,1404.7150000000001,1276.72,1226.655,1555.97,97.51724483639526
4450,2023-01-17 12:00:00,1569.08,1609.0,1560.97,1579.1,224989.0426,1673978399999,355023722.583513,257800,115973.3547,183004780.452775,0,72.49437279256959,71.70168464887368,76.91673816845314,55.214803507233,-2.841067992078692,58.05587149931169,1505.0149999999999,1406.9650000000001,1276.72,1226.655,1549.14,142.6364940037631
4451,2023-01-17 18:00:00,1579.1,1599.14,1563.69,1565.57,97617.4578,1673999999999,154528503.820635,147125,48014.3777,76019050.692883,0,67.8463108563787,57.35886107020118,68.75181596059795,52.43507879450135,-4.49663416384827,56.93171295834962,1505.0149999999999,1406.9650000000001,1276.72,1226.655,1545.49,92.02149353562264
4452,2023-01-18 00:00:00,1565.56,1592.01,1562.93,1587.26,95414.2283,1674021599999,150780470.50849,132849,51075.6096,80722237.105865,0,71.05074559591272,76.61611272453479,68.55888614786994,51.38993745211019,-4.433420404991544,55.82335785710173,1505.3049999999998,1406.9650000000001,1276.72,1226.655,1548.7,95.86671988047405
4453,2023-01-18 06:00:00,1587.26,1587.75,1570.67,1575.9,75490.5107,1674043199999,119180546.565298,110220,38440.2095,60689732.609482,0,67.2694390092226,64.3971173496828,66.12403038147299,49.079243380982234,-5.395291580895602,54.474534961877836,1505.3049999999998,1406.9650000000001,1278.1100000000001,1226.655,1611.94,73.89341032105752
4454,2023-01-18 12:00:00,1575.9,1610.0,1501.39,1541.58,459515.5965,1674064799999,715230750.613144,503201,231134.842,359757308.983987,0,57.340782270900725,37.003959119786266,59.33906306466802,43.97178513857716,-8.402199858640543,52.373984997217704,1512.355,1407.4650000000001,1278.1100000000001,1226.655,1619.59,-52.714518145873186
4455,2023-01-18 18:00:00,1541.58,1555.0,1507.9,1511.43,122114.5502,1674086399999,187051400.042931,167317,58798.6854,90071631.665148,0,50.31499714564207,9.24408433845868,36.88172026930932,37.063984120868554,-12.24800070107932,49.311984821947874,1529.5700000000002,1411.355,1278.1100000000001,1226.655,1604.33,-171.0609094406915
