date,sentiment,neutral_count,positive_count,negative_count,weighted_avg
2021-03-15,1,0,21,4,0.68
2021-03-16,1,0,18,7,0.44
2021-03-17,1,2,17,6,0.44
2021-03-18,1,2,17,6,0.44
2021-03-20,1,1,18,6,0.48
2021-03-21,1,1,18,6,0.48
2021-03-25,1,0,24,1,0.92
2021-03-26,1,0,20,5,0.6
2021-03-29,1,0,19,6,0.52
2021-03-30,1,0,20,5,0.6
2021-03-31,1,0,19,6,0.52
2021-04-01,1,0,21,4,0.68
2021-04-02,1,1,20,4,0.64
2021-04-03,1,1,19,5,0.56
2021-04-04,1,0,21,4,0.68
2021-04-05,1,0,18,7,0.44
2021-04-06,1,1,17,7,0.4
2021-04-07,1,3,17,5,0.48
2021-04-08,1,0,21,4,0.68
2021-04-09,1,0,20,5,0.6
2021-04-12,1,0,23,2,0.84
2021-04-13,1,0,20,5,0.6
2021-04-14,1,0,18,7,0.44
2021-04-15,1,1,20,4,0.64
2021-04-16,1,0,20,5,0.6
2021-04-17,1,0,24,1,0.92
2021-04-18,1,1,20,4,0.64
2021-04-19,1,0,20,5,0.6
2021-04-20,1,0,21,4,0.68
2021-04-21,1,0,20,5,0.6
2021-04-22,1,1,19,5,0.56
2021-04-23,1,0,19,6,0.52
2021-04-24,1,0,22,3,0.76
2021-04-25,1,2,21,2,0.76
2021-04-26,1,0,17,8,0.36
2021-04-27,1,2,17,6,0.44
2021-04-28,1,1,18,6,0.48
2021-04-29,1,3,12,10,0.08
2021-04-30,1,2,19,4,0.6
2021-05-01,1,1,22,2,0.8
2021-05-02,1,0,15,10,0.2
2021-05-03,1,0,22,3,0.76
2021-05-04,1,0,19,6,0.52
2021-05-05,1,1,18,6,0.48
2021-05-06,1,2,17,6,0.44
2021-05-07,1,0,20,5,0.6
2021-05-08,1,0,18,7,0.44
2021-05-09,1,0,20,5,0.6
2021-05-10,1,0,20,5,0.6
2021-05-11,1,0,17,8,0.36
2021-05-13,1,2,19,4,0.6
2021-05-14,1,0,23,2,0.84
2021-05-15,1,0,17,8,0.36
2021-05-16,1,0,20,5,0.6
2021-05-17,1,0,21,4,0.68
2021-05-18,1,0,20,5,0.6
2021-05-19,1,2,19,4,0.6
2021-05-20,1,0,20,5,0.6
2021-05-22,1,0,19,6,0.52
2021-05-23,1,2,20,3,0.68
2021-05-24,1,1,20,4,0.64
2021-05-25,1,1,19,5,0.56
2021-05-26,1,0,20,5,0.6
2021-05-27,1,0,17,8,0.36
2021-05-28,1,0,17,8,0.36
2021-05-29,1,0,18,7,0.44
2021-05-31,1,2,20,3,0.68
2021-06-01,1,1,21,3,0.72
2021-06-04,1,1,18,6,0.48
2021-06-05,1,0,15,10,0.2
2021-06-06,1,0,20,5,0.6
2021-06-07,1,0,15,10,0.2
2021-06-08,1,0,22,3,0.76
2021-06-13,1,0,20,5,0.6
2021-06-14,1,1,19,5,0.56
2021-06-16,1,1,20,4,0.64
2021-06-17,1,1,17,7,0.4
2021-06-19,1,0,22,3,0.76
2021-06-20,1,0,22,3,0.76
